disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
PD,0.39,random_ccr,Random + CCR (Control),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,random_ccr,Random + CCR (Control),0.05,0.7065217391304348,0.7535211267605634,0.697087526577594,234,0.9583333333333334,0.9466666666666667
PD,0.39,random_ccr,Random + CCR (Control),0.1,0.7126436781609196,0.7555555555555555,0.6947108894020593,222,0.90625,0.9
PD,0.39,random_ccr,Random + CCR (Control),0.15,0.7142857142857143,0.7619047619047619,0.6953274640125812,210,0.875,0.84
PD,0.39,random_ccr,Random + CCR (Control),0.2,0.7073170731707317,0.7739130434782608,0.7125502502608784,197,0.8541666666666666,0.7666666666666667
PD,0.39,random_ccr,Random + CCR (Control),0.25,0.7297297297297297,0.7747747747747747,0.7078592675178201,185,0.7708333333333334,0.74
PD,0.39,random_ccr,Random + CCR (Control),0.3,0.7352941176470589,0.7714285714285715,0.6907641766729283,173,0.7083333333333334,0.7
PD,0.39,random_ccr,Random + CCR (Control),0.35,0.734375,0.7731958762886598,0.6807200284799568,161,0.6666666666666666,0.6466666666666666
PD,0.39,random_ccr,Random + CCR (Control),0.4,0.75,0.7954545454545454,0.7007796352806034,148,0.625,0.5866666666666667
PD,0.39,random_ccr,Random + CCR (Control),0.45,0.7454545454545455,0.7901234567901234,0.6995245594710068,136,0.5729166666666666,0.54
PD,0.39,random_ccr,Random + CCR (Control),0.5,0.7346938775510204,0.7733333333333333,0.66644397096844,124,0.5104166666666666,0.5
PD,0.39,random_ccr,Random + CCR (Control),0.55,0.7555555555555555,0.7910447761194029,0.7812148754864786,112,0.46875,0.44666666666666666
PD,0.39,random_ccr,Random + CCR (Control),0.6,0.7317073170731707,0.7931034482758621,0.784791770985937,99,0.4270833333333333,0.38666666666666666
PD,0.39,random_ccr,Random + CCR (Control),0.65,0.7428571428571429,0.7884615384615384,0.7745496685837928,87,0.3645833333333333,0.3466666666666667
PD,0.39,random_ccr,Random + CCR (Control),0.7,0.7,0.7555555555555555,0.7207003594517402,75,0.3125,0.3
