disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
PD,h_total,0.5,55.55555555555556,21.052631578947356,88.8888888888889,75.36231884057972
PD,h_total,0.55,55.55555555555556,29.82456140350877,88.88888888888887,78.26086956521739
PD,h_total,0.6,55.55555555555556,37.719298245614034,91.66666666666666,81.15942028985508
PD,h_total,0.65,62.96296296296296,42.10526315789473,94.44444444444444,86.95652173913044
PD,h_total,0.7,62.96296296296296,50.877192982456144,94.44444444444444,91.30434782608695
PD,h_total,0.75,66.66666666666666,58.77192982456141,97.22222222222221,92.7536231884058
PD,h_total,0.8,74.07407407407408,64.03508771929825,97.22222222222221,98.55072463768117
PD,margin,0.0,0.0,0.0,0.0,0.0
PD,margin,0.05,11.111111111111084,2.631578947368421,8.333333333333353,4.3478260869565215
PD,margin,0.1,22.22222222222222,7.017543859649122,16.66666666666668,5.797101449275362
PD,margin,0.15,40.740740740740755,10.52631578947367,22.22222222222222,7.246376811594203
PD,margin,0.2,44.444444444444464,15.789473684210526,30.555555555555557,11.594202898550725
PD,margin,0.25,48.14814814814816,18.421052631578945,41.66666666666666,17.39130434782607
PD,margin,0.3,55.55555555555557,22.807017543859647,47.22222222222222,21.73913043478261
PD,margin,0.35,55.55555555555556,31.57894736842105,52.77777777777778,23.18840579710145
PD,margin,0.4,55.55555555555556,38.59649122807019,58.33333333333333,26.08695652173913
PD,margin,0.45,62.96296296296296,43.859649122807014,61.11111111111111,30.434782608695667
PD,margin,0.5,62.96296296296296,54.385964912280706,61.11111111111111,31.88405797101449
PD,margin,0.55,66.66666666666669,61.40350877192983,63.888888888888886,34.78260869565217
PD,margin,0.6,77.77777777777779,67.54385964912281,63.888888888888886,37.68115942028986
PD,margin,0.65,85.18518518518519,73.68421052631578,63.888888888888886,42.028985507246375
PD,margin,0.7,88.88888888888889,79.82456140350878,63.888888888888886,49.275362318840585
PD,margin,0.75,92.5925925925926,85.96491228070175,72.22222222222221,50.72463768115942
PD,margin,0.8,100.0,93.85964912280701,72.22222222222221,52.17391304347826
PD,h_tau,0.0,0.0,0.0,0.0,0.0
PD,h_tau,0.05,11.111111111111084,1.7543859649122806,11.111111111111121,4.3478260869565215
PD,h_tau,0.1,18.51851851851852,5.263157894736842,22.2222222222222,7.246376811594203
PD,h_tau,0.15,33.33333333333333,8.771929824561402,27.77777777777779,10.144927536231885
PD,h_tau,0.2,40.74074074074074,10.52631578947367,38.8888888888889,17.391304347826086
PD,h_tau,0.25,44.44444444444446,14.9122807017544,47.22222222222221,21.73913043478261
PD,h_tau,0.3,48.148148148148145,18.421052631578945,58.33333333333335,26.08695652173913
PD,h_tau,0.35,55.55555555555557,22.807017543859637,61.111111111111114,33.33333333333333
PD,h_tau,0.4,55.55555555555557,29.82456140350877,63.888888888888886,37.68115942028986
PD,h_tau,0.45,55.55555555555556,34.21052631578947,63.888888888888886,47.82608695652174
PD,h_tau,0.5,59.25925925925925,39.473684210526315,72.22222222222221,52.17391304347826
PD,h_tau,0.55,62.96296296296296,44.73684210526315,72.22222222222221,59.42028985507246
PD,h_tau,0.6,62.96296296296296,50.877192982456144,77.77777777777779,63.76811594202898
PD,h_tau,0.65,66.66666666666666,57.89473684210527,83.33333333333334,65.21739130434783
PD,h_tau,0.7,74.07407407407408,64.03508771929825,83.33333333333334,71.01449275362319
PD,h_tau,0.75,77.77777777777779,69.2982456140351,88.88888888888889,75.36231884057972
PD,h_tau,0.8,88.88888888888889,75.43859649122807,88.88888888888889,78.26086956521739
PD,h_tau_ccr,0.0,0.0,0.0,0.0,0.0
PD,h_tau_ccr,0.05,14.814814814814813,2.631578947368421,8.333333333333353,2.898550724637681
PD,h_tau_ccr,0.1,22.22222222222222,7.017543859649122,16.66666666666668,5.797101449275362
PD,h_tau_ccr,0.15,40.740740740740755,8.771929824561415,25.0,8.695652173913043
PD,h_tau_ccr,0.2,44.44444444444446,14.035087719298245,33.33333333333333,13.043478260869565
PD,h_tau_ccr,0.25,51.85185185185185,18.421052631578945,38.88888888888889,17.391304347826086
PD,h_tau_ccr,0.3,55.55555555555557,23.684210526315777,44.444444444444436,21.73913043478261
PD,h_tau_ccr,0.35,55.55555555555556,29.82456140350877,55.55555555555557,23.18840579710145
PD,h_tau_ccr,0.4,55.55555555555556,35.96491228070175,61.111111111111114,28.985507246376812
PD,h_tau_ccr,0.45,62.962962962962976,40.35087719298245,63.88888888888887,34.78260869565217
PD,h_tau_ccr,0.5,62.96296296296296,46.49122807017544,63.888888888888886,42.02898550724637
PD,h_tau_ccr,0.55,62.96296296296296,52.63157894736842,63.888888888888886,49.275362318840585
PD,h_tau_ccr,0.6,66.66666666666666,57.89473684210527,72.22222222222221,53.62318840579711
PD,h_tau_ccr,0.65,70.37037037037037,63.1578947368421,72.22222222222221,60.86956521739131
PD,h_tau_ccr,0.7,77.77777777777779,67.54385964912281,77.77777777777779,65.21739130434783
PD,h_tau_ccr,0.75,85.18518518518519,71.9298245614035,83.33333333333334,69.56521739130434
PD,h_tau_ccr,0.8,88.88888888888889,77.19298245614034,88.88888888888889,75.36231884057972
PD,random_ccr,0.0,0.0,0.0,0.0,0.0
PD,random_ccr,0.05,0.0,6.140350877192982,2.7777777777777777,5.797101449275362
PD,random_ccr,0.1,7.407407407407421,10.52631578947367,8.333333333333313,10.144927536231885
PD,random_ccr,0.15,11.11111111111111,15.78947368421054,16.666666666666647,13.043478260869565
PD,random_ccr,0.2,11.11111111111111,21.929824561403507,27.777777777777768,15.942028985507244
PD,random_ccr,0.25,25.925925925925924,24.561403508771942,30.555555555555546,21.73913043478261
PD,random_ccr,0.3,33.33333333333335,28.947368421052634,33.33333333333334,27.536231884057973
PD,random_ccr,0.35,37.03703703703704,34.21052631578947,38.8888888888889,31.88405797101449
PD,random_ccr,0.4,44.44444444444444,38.59649122807019,49.999999999999986,34.78260869565217
PD,random_ccr,0.45,48.14814814814816,43.859649122807014,52.77777777777776,40.57971014492754
PD,random_ccr,0.5,51.85185185185186,49.122807017543856,52.77777777777778,47.82608695652174
PD,random_ccr,0.55,59.25925925925925,53.508771929824576,61.11111111111111,50.72463768115942
PD,random_ccr,0.6,59.25925925925925,59.64912280701754,66.66666666666666,56.52173913043478
PD,random_ccr,0.65,66.66666666666666,64.03508771929825,69.44444444444444,62.31884057971014
PD,random_ccr,0.7,66.66666666666666,70.17543859649122,69.44444444444444,69.56521739130434
PD,random_ccr,0.75,70.37037037037037,75.43859649122807,75.0,73.91304347826086
PD,random_ccr,0.8,77.77777777777779,79.82456140350878,77.77777777777779,81.15942028985508
PD,h_total_ccr,0.0,0.0,0.0,0.0,0.0
PD,h_total_ccr,0.05,14.814814814814813,2.631578947368421,8.333333333333353,2.898550724637681
PD,h_total_ccr,0.1,22.22222222222222,7.017543859649122,13.888888888888909,7.246376811594203
PD,h_total_ccr,0.15,40.740740740740755,8.771929824561402,19.444444444444425,11.594202898550714
PD,h_total_ccr,0.2,44.44444444444443,14.035087719298245,27.777777777777768,15.942028985507244
PD,h_total_ccr,0.25,51.85185185185186,18.421052631578945,36.1111111111111,18.84057971014493
PD,h_total_ccr,0.3,55.55555555555556,23.684210526315788,41.66666666666667,23.18840579710145
PD,h_total_ccr,0.35,55.55555555555555,29.82456140350877,47.22222222222222,27.536231884057973
PD,h_total_ccr,0.4,55.55555555555555,35.96491228070175,55.55555555555556,31.88405797101449
PD,h_total_ccr,0.45,62.96296296296296,40.35087719298245,58.33333333333333,37.681159420289845
PD,h_total_ccr,0.5,62.96296296296296,46.49122807017544,61.111111111111114,43.478260869565226
PD,h_total_ccr,0.55,62.96296296296296,52.63157894736842,63.888888888888886,49.275362318840585
PD,h_total_ccr,0.6,66.66666666666666,57.89473684210527,72.22222222222221,53.62318840579711
PD,h_total_ccr,0.65,70.37037037037037,63.1578947368421,72.22222222222221,60.86956521739131
PD,h_total_ccr,0.7,77.77777777777779,67.54385964912281,77.77777777777779,65.21739130434783
PD,h_total_ccr,0.75,85.18518518518519,71.9298245614035,83.33333333333334,69.56521739130434
PD,h_total_ccr,0.8,88.88888888888889,77.19298245614034,88.88888888888889,75.36231884057972
PD,margin_ccr,0.0,0.0,0.0,0.0,0.0
PD,margin_ccr,0.05,14.814814814814813,2.631578947368421,8.333333333333353,2.898550724637681
PD,margin_ccr,0.1,22.22222222222222,7.017543859649122,16.66666666666668,5.797101449275362
PD,margin_ccr,0.15,40.740740740740755,8.771929824561415,25.0,8.695652173913043
PD,margin_ccr,0.2,44.44444444444446,14.035087719298245,33.33333333333333,13.043478260869565
