disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
MS,h_total,0.0,0.0,0.0,0.0,0.0
MS,h_total,0.05,1.1460366705808067e-14,0.0,12.290502793296074,21.311475409836056
MS,h_total,0.1,1.1460366705808067e-14,-1.2688263138573217e-14,25.69832402234637,40.983606557377044
MS,h_total,0.15,3.43811001174242e-14,0.0,41.34078212290502,54.09836065573771
MS,h_total,0.2,1.1460366705808067e-14,0.0,54.7486033519553,73.77049180327867
MS,h_total,0.25,1.1460366705808067e-14,0.0,70.94972067039106,85.24590163934425
MS,h_total,0.3,1.1460366705808067e-14,0.0,87.70949720670393,95.08196721311475
MS,h_total,0.35,6.451612903225818,2.0089285714285716,100.0,100.0
MS,h_total,0.4,29.032258064516135,8.482142857142858,100.0,100.0
MS,h_total,0.45,35.48387096774194,16.071428571428584,100.0,100.0
MS,h_total,0.5,51.61290322580646,22.991071428571427,100.0,100.0
MS,h_total,0.55,58.06451612903227,30.580357142857146,100.0,100.0
MS,h_total,0.6,64.51612903225808,38.169642857142854,100.0,100.0
MS,h_total,0.65,70.96774193548387,45.75892857142856,100.0,100.0
MS,h_total,0.7,70.96774193548387,53.79464285714286,100.0,100.0
MS,h_total,0.75,77.41935483870968,61.38392857142857,100.0,100.0
MS,h_total,0.8,80.64516129032259,69.19642857142857,100.0,100.0
MS,margin,0.0,0.0,0.0,0.0,0.0
MS,margin,0.05,9.677419354838698,2.4553571428571304,11.173184357541883,1.6393442622950707
MS,margin,0.1,22.58064516129033,6.250000000000012,17.877094972067024,6.557377049180306
MS,margin,0.15,35.48387096774193,10.9375,23.463687150837988,8.196721311475411
MS,margin,0.2,38.70967741935486,17.187500000000014,27.37430167597767,8.1967213114754
MS,margin,0.25,54.83870967741936,22.544642857142858,29.05027932960895,14.75409836065574
MS,margin,0.3,58.06451612903225,28.348214285714285,32.40223463687149,19.672131147540988
MS,margin,0.35,64.51612903225805,34.598214285714285,35.754189944134076,19.672131147540973
MS,margin,0.4,67.74193548387099,40.625,39.106145251396654,22.95081967213115
MS,margin,0.45,70.96774193548387,47.99107142857143,40.22346368715084,22.950819672131125
MS,margin,0.5,70.96774193548386,55.35714285714286,41.34078212290502,24.590163934426233
MS,margin,0.55,77.41935483870968,61.60714285714286,44.134078212290504,26.2295081967213
MS,margin,0.6,80.64516129032259,68.30357142857143,46.368715083798875,27.868852459016395
MS,margin,0.65,83.8709677419355,75.22321428571429,48.04469273743017,29.50819672131147
MS,margin,0.7,93.5483870967742,81.69642857142857,49.72067039106145,31.147540983606547
MS,margin,0.75,93.5483870967742,87.94642857142857,52.513966480446925,36.06557377049181
MS,margin,0.8,100.0,94.41964285714286,53.6312849162011,40.983606557377044
MS,h_tau,0.0,0.0,0.0,0.0,0.0
MS,h_tau,0.05,3.2258064516128915,0.4464285714285714,16.201117318435738,4.9180327868852345
MS,h_tau,0.1,6.451612903225818,1.339285714285727,29.608938547486023,16.393442622950822
MS,h_tau,0.15,9.67741935483872,3.3482142857142856,41.34078212290502,24.590163934426222
MS,h_tau,0.2,16.129032258064537,4.241071428571429,53.072625698324025,39.34426229508195
MS,h_tau,0.25,22.58064516129032,5.803571428571441,65.36312849162012,47.54098360655737
MS,h_tau,0.3,29.032258064516125,8.48214285714287,73.74301675977654,59.01639344262294
MS,h_tau,0.35,35.48387096774193,11.383928571428584,81.56424581005585,70.49180327868852
MS,h_tau,0.4,35.48387096774194,16.294642857142858,87.15083798882681,77.04918032786885
MS,h_tau,0.45,51.61290322580647,21.428571428571416,89.3854748603352,83.60655737704917
